1 26
2 26
3 29
4 29
5 26
6 23
7 21
8 18
9 12
10 7
11 13
12 10
13 10
14 6
15 3
16 0
17 3
18 5
19 6
20 11
21 12
22 13
23 13
24 15
25 15
26 18
27 18
28 18
29 19
30 20
31 20
32 19
33 18
34 18
35 17
36 17
37 17
38 17
39 16
40 16
41 15
42 13
43 12
44 12
45 11
46 8
47 8
48 7
49 7
50 7
51 7
52 7
53 7
54 6
55 6
56 6
57 6
58 6
59 6
60 6
61 6
62 6
63 6
64 6
65 6
66 5
67 4
68 4
69 4
70 4
71 4
72 3
73 3
74 3
75 3
76 3
77 3
78 3
79 3
80 3
81 3
82 3
83 3
84 3
85 3
86 3
87 3
88 3
89 3
90 3
91 3
92 3
93 3
94 3
95 3
96 3
97 3
98 3
99 3
100 3
